experiment_name,model_name,method,data_fraction,seed,f1_macro,accuracy,f1_negative,f1_neutral,f1_positive,trainable_params,peak_vram_gb,train_time_s,inference_latency_ms,fallback_rate,notes
tfidf_lr_cardiff_es_full,tfidf+lr,tfidf_lr,full,42,0.5664891037187947,0.5689655172413793,0.6108374384236454,0.4889705882352941,0.5996592844974447,67941.0,,4.620517008999741,0.8355371692279079,,"TF-IDF char_wb 2-4grams + LR C=1.0 multinomial. Features: 22647, clases: 3."
encoder_offtheshelf_pysentimiento_robertuito-sentiment-analysis,pysentimiento/robertuito-sentiment-analysis,encoder_offtheshelf,full,42,0.7582225511991996,0.7609195402298851,0.8204283360790774,0.6521739130434783,0.802065404475043,,,,47.9446862586444,,"out-of-domain reference: pysentimiento/robertuito-sentiment-analysis entrenado en TASS 2020, evaluado sobre Cardiff ES test sin fine-tuning. NO incluir en la frontera de Pareto calidad-coste. Solo referencia de comparacion."
encoder_finetuned_dccuchile_bert-base-spanish-wwm-cased_cardiff_es,dccuchile/bert-base-spanish-wwm-cased,encoder_finetuned,full,42,0.6612994350282486,0.6632183908045977,0.7016949152542373,0.55,0.7322033898305085,109853187.0,2.470710784,10.619552756892515,0.637400504094602,,"Full fine-tuning de dccuchile/bert-base-spanish-wwm-cased sobre Cardiff ES (train completo). epochs=3, lr=2e-05, bs=16. Punto A de la frontera de Pareto calidad-coste."
encoder_finetuned_xlm-roberta-base_cardiff_es,xlm-roberta-base,encoder_finetuned,full,42,0.6464889915810161,0.6597701149425287,0.7024539877300614,0.5,0.737012987012987,278045955.0,4.587578368,18.27577839884907,0.5487323321145157,,"Full fine-tuning de xlm-roberta-base sobre Cardiff ES (train completo). epochs=3, lr=2e-05, bs=16. Punto A de la frontera de Pareto calidad-coste."
prompting_zeroshot_Qwen_Qwen3-1.7B,Qwen/Qwen3-1.7B,prompting_zeroshot,full,42,0.4713033050853233,0.5080459770114942,0.603448275862069,0.5501066098081023,0.2603550295857988,0.0,1.45524736,0.0,68.5899188072988,0.0137931034482758,Prompting prompting_zeroshot. k=0. Modelo: Qwen/Qwen3-1.7B (1015.9M params). Fallback: 1.4%. Tiempo total inferencia: 59.7s.
prompting_fewshot_k4_Qwen_Qwen3-1.7B,Qwen/Qwen3-1.7B,prompting_fewshot_k4,full,42,0.5435983689193641,0.5448275862068965,0.5471264367816092,0.5488372093023256,0.5348314606741573,0.0,1.479457792,0.0,67.85362755783417,0.0,Prompting prompting_fewshot_k4. k=4. Modelo: Qwen/Qwen3-1.7B (1015.9M params). Fallback: 0.0%. Tiempo total inferencia: 59.0s.
prompting_fewshot_k8_Qwen_Qwen3-1.7B,Qwen/Qwen3-1.7B,prompting_fewshot_k8,full,42,0.5601021446909322,0.5609195402298851,0.5170731707317073,0.5472636815920398,0.6159695817490495,0.0,1.500701184,0.0,68.08997180805295,0.0011494252873563,Prompting prompting_fewshot_k8. k=8. Modelo: Qwen/Qwen3-1.7B (1015.9M params). Fallback: 0.1%. Tiempo total inferencia: 59.2s.
prompting_fewshot_k16_Qwen_Qwen3-1.7B,Qwen/Qwen3-1.7B,prompting_fewshot_k16,full,42,0.5395089352781591,0.5459770114942529,0.539906103286385,0.4463087248322148,0.6323119777158774,0.0,1.546046976,0.0,68.12499706344357,0.0011494252873563,Prompting prompting_fewshot_k16. k=16. Modelo: Qwen/Qwen3-1.7B (1015.9M params). Fallback: 0.1%. Tiempo total inferencia: 59.3s.
lora_qwen1.7b_n4_s42,Qwen/Qwen3-1.7B,lora,4,42,0.5507369614512472,0.5597701149425287,0.6994047619047619,0.4319727891156462,0.5208333333333334,6422528.0,5.616750592,70.5998,50.88971633660166,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=4, seed=42. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.5861@step40. loss 1.1152358055114746->2.960109122795984e-06. n_train=4, n_test=870."
lora_qwen1.7b_n4_s43,Qwen/Qwen3-1.7B,lora,4,43,0.530618239090203,0.5551724137931034,0.6892067620286085,0.3541247484909456,0.5485232067510548,6422528.0,5.679292416,71.8193,51.60417808873351,0.0022988505747126,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=4, seed=43. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.5608@step20. loss 0.29436392784118653->4.107492713956162e-06. n_train=4, n_test=870."
lora_qwen4b_n4_s42,Qwen/Qwen3-4B,lora,4,42,0.5017392478858383,0.5137931034482759,0.6187245590230664,0.3531598513011152,0.5333333333333333,11796480.0,11.685487616,90.398,65.07521105538073,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=4, seed=42. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.5668@step60. loss 0.9520966529846191->9.465894254390151e-06. n_train=4, n_test=870."
lora_qwen1.7b_n4_s44,Qwen/Qwen3-1.7B,lora,4,44,0.5368494468400389,0.603448275862069,0.7145135566188198,0.1915492957746478,0.7044854881266491,6422528.0,5.643631616,72.8461,52.686468126219616,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=4, seed=44. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.5756@step80. loss 0.7667459011077881->1.6838293959153816e-06. n_train=4, n_test=870."
lora_qwen4b_n4_s43,Qwen/Qwen3-4B,lora,4,43,0.6188283759611881,0.6494252873563219,0.7343532684283728,0.3905882352941176,0.7315436241610739,11796480.0,11.784696832,93.8326,66.42500710624613,0.0034482758620689,"PEFT lora sobre Qwen/Qwen3-4B, fracción=4, seed=43. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6513@step60. loss 0.7573126316070556->5.108102777739987e-06. n_train=4, n_test=870."
lora_qwen1.7b_n7_s42,Qwen/Qwen3-1.7B,lora,7,42,0.600187496450831,0.6298850574712643,0.7272727272727273,0.3708920187793427,0.7023977433004231,6422528.0,7.440405504,72.3693,51.96585356699008,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=7, seed=42. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6122@step20. loss 0.5977227210998535->1.1652871762635186e-05. n_train=7, n_test=870."
lora_qwen4b_n4_s44,Qwen/Qwen3-4B,lora,4,44,0.4439509185817911,0.5448275862068965,0.6263982102908278,0.0,0.7054545454545454,11796480.0,11.702040576,91.9633,70.80850674231586,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=4, seed=44. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.4665@step20. loss 0.9165022850036622->1.4447954890783877e-05. n_train=4, n_test=870."
lora_qwen1.7b_n7_s43,Qwen/Qwen3-1.7B,lora,7,43,0.6471298362401325,0.6436781609195402,0.6998087954110899,0.5492730210016155,0.6923076923076923,6422528.0,7.363651072,71.6002,51.95015172163645,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=7, seed=43. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6546@step20. loss 0.17860040664672852->1.7498192391940393e-06. n_train=7, n_test=870."
lora_qwen4b_n7_s42,Qwen/Qwen3-4B,lora,7,42,0.6851594520415105,0.6919540229885057,0.7568493150684932,0.5603112840466926,0.7383177570093458,11796480.0,14.619149312,92.1053,66.76773923008065,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=7, seed=42. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6894@step20. loss 0.2612889528274536->2.528084223740734e-06. n_train=7, n_test=870."
lora_qwen1.7b_n7_s44,Qwen/Qwen3-1.7B,lora,7,44,0.522518345943105,0.5540229885057472,0.7127819548872181,0.5111111111111111,0.3436619718309859,6422528.0,7.381302272,74.7501,55.7263887389318,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=7, seed=44. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.5879@step40. loss 0.45950069427490237->1.9128799976897424e-06. n_train=7, n_test=870."
lora_qwen1.7b_n10_s42,Qwen/Qwen3-1.7B,lora,10,42,0.6288602705896335,0.6517241379310345,0.734375,0.4304932735426009,0.7217125382262997,6422528.0,7.935435264,74.6724,53.05075138121059,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=10, seed=42. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6317@step80. loss 0.7365319728851318->3.2532800105400385e-06. n_train=10, n_test=870."
lora_qwen4b_n7_s43,Qwen/Qwen3-4B,lora,7,43,0.6083152262660102,0.6218390804597701,0.7323162274618585,0.4734848484848485,0.6191446028513238,11796480.0,14.474941952,91.6709,66.53034931310175,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=7, seed=43. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6472@step20. loss 0.4903691291809082->1.6237987438216806e-06. n_train=7, n_test=870."
lora_qwen1.7b_n10_s43,Qwen/Qwen3-1.7B,lora,10,43,0.5595141142394474,0.5816091954022988,0.693196405648267,0.4828828828828829,0.5024630541871922,6422528.0,7.835147776,72.5831,51.611280460890974,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=10, seed=43. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.5779@step80. loss 1.2019968032836914->2.954148112621624e-06. n_train=10, n_test=870."
lora_qwen4b_n7_s44,Qwen/Qwen3-4B,lora,7,44,0.6426021974037409,0.664367816091954,0.7386541471048513,0.4498886414253897,0.7392638036809815,11796480.0,14.552117248,94.4343,68.25236154295374,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=7, seed=44. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6846@step20. loss 0.4209409236907959->1.3423805285128765e-06. n_train=7, n_test=870."
lora_qwen1.7b_n10_s44,Qwen/Qwen3-1.7B,lora,10,44,0.6056782406225121,0.6402298850574712,0.7319422150882825,0.3614457831325301,0.7236467236467237,6422528.0,7.990053888,71.271,51.54746697333298,0.0114942528735632,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=10, seed=44. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6059@step60. loss 0.7869009494781494->1.0783693142002448e-05. n_train=10, n_test=870."
lora_qwen4b_n10_s42,Qwen/Qwen3-4B,lora,10,42,0.6352064229993094,0.6298850574712643,0.6918489065606361,0.5987261146496815,0.6150442477876106,11796480.0,15.359299072,92.189,65.17316445937021,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=10, seed=42. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6685@step20. loss 0.3163848638534546->1.2733029507216997e-06. n_train=10, n_test=870."
lora_qwen1.7b_n16_s42,Qwen/Qwen3-1.7B,lora,16,42,0.6499055972966576,0.6436781609195402,0.6817325800376648,0.5870503597122302,0.6809338521400778,6422528.0,8.045165568,73.8891,51.73364565952828,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=16, seed=42. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6778@step60. loss 0.0730287790298462->2.1167057639104315e-06. n_train=16, n_test=870."
lora_qwen1.7b_n16_s43,Qwen/Qwen3-1.7B,lora,16,43,0.5986931573386093,0.596551724137931,0.6753731343283582,0.5641025641025641,0.5566037735849056,6422528.0,7.986451968,71.2929,50.77703770152048,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=16, seed=43. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6109@step20. loss 0.7245120525360107->4.292260564398021e-06. n_train=16, n_test=870."
lora_qwen4b_n10_s43,Qwen/Qwen3-4B,lora,10,43,0.6263566921461658,0.6367816091954023,0.717032967032967,0.4980694980694981,0.6639676113360324,11796480.0,15.285932544,99.0572,71.1731697154934,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=10, seed=43. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6647@step20. loss 1.112680149078369->7.923992234282195e-06. n_train=10, n_test=870."
lora_qwen1.7b_n16_s44,Qwen/Qwen3-1.7B,lora,16,44,0.6187882600957794,0.6459770114942529,0.7182320441988951,0.4055944055944055,0.7325383304940375,6422528.0,7.935436288,71.1141,50.21048890296043,0.0034482758620689,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=16, seed=44. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6577@step80. loss 0.5575296401977539->6.774339999537915e-06. n_train=16, n_test=870."
lora_qwen4b_n10_s44,Qwen/Qwen3-4B,lora,10,44,0.6516161682576306,0.667816091954023,0.7253731343283583,0.5022026431718062,0.7272727272727273,11796480.0,15.461165056,93.7888,66.7298723077565,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=10, seed=44. r=16, lr=0.0002, max_steps=80 (min_steps=80). best_val_F1=0.6632@step80. loss 0.629727554321289->2.487794554326683e-05. n_train=10, n_test=870."
