model,model_label,method,perturbation,optional,n_test,fallback_rate,f1_macro,f1_negative,f1_neutral,f1_positive,f1_macro_clean,delta_abs,delta_rel_pct,delta_f1_negative,delta_f1_neutral,delta_f1_positive
lora_1.7b,LoRA Qwen3-1.7B,lora,limpio,False,870,0.0,0.6922061633056852,0.7218934911242604,0.6353276353276354,0.71939736346516,0.6922061633056852,0.0,0.0,0.0,0.0,0.0
lora_1.7b,LoRA Qwen3-1.7B,lora,sin_tildes,False,870,0.0,0.693428790284233,0.734375,0.6362339514978602,0.7096774193548387,0.6922061633056852,0.0012226269785478028,0.17662757764378334,0.012481508875739622,0.0009063161702248523,-0.009719944110321288
lora_1.7b,LoRA Qwen3-1.7B,lora,sin_emojis,False,870,0.0,0.6934795038158451,0.7233201581027668,0.6363636363636364,0.720754716981132,0.6922061633056852,0.001273340510159926,0.18395393997634865,0.0014266669785064634,0.0010360010360009886,0.001357353515971993
lora_1.7b,LoRA Qwen3-1.7B,lora,minusculas,False,870,0.0,0.6906758365164904,0.7140039447731755,0.6372688477951636,0.720754716981132,0.6922061633056852,-0.0015303267891947359,-0.22107962487455174,-0.007889546351084853,0.0019412124675282083,0.001357353515971993
lora_1.7b,LoRA Qwen3-1.7B,lora,mayusculas,False,870,0.0,0.6812601703502249,0.722117202268431,0.6063348416289592,0.7153284671532847,0.6922061633056852,-0.010945992955460282,-1.5813197766380507,0.0002237111441706352,-0.028992793698676134,-0.004068896311875347
lora_1.7b,LoRA Qwen3-1.7B,lora,alargamientos,False,870,0.0,0.6868632996150105,0.7265917602996255,0.6238532110091743,0.7101449275362319,0.6922061633056852,-0.005342863690674715,-0.7718601731541146,0.0046982691753650885,-0.011474424318461018,-0.009252435928928104
lora_1.7b,LoRA Qwen3-1.7B,lora,abrev_chat,False,870,0.0,0.6804309402092515,0.704,0.6323119777158774,0.7049808429118773,0.6922061633056852,-0.01177522309643364,-1.701115032001468,-0.01789349112426042,-0.003015657611757927,-0.014416520553282686
lora_1.7b,LoRA Qwen3-1.7B,lora,sin_puntuacion,False,870,0.0,0.6737307250656168,0.7125984251968503,0.625,0.68359375,0.6922061633056852,-0.018475438240068365,-2.6690658389745407,-0.009295065927410029,-0.010327635327635365,-0.035803613465160034
lora_1.7b,LoRA Qwen3-1.7B,lora,code_switching,True,870,0.0,0.6977614403797205,0.7247524752475247,0.6419400855920114,0.7265917602996255,0.6922061633056852,0.0055552770740353585,0.8025466065638154,0.002858984123264352,0.0066124502643760685,0.007194396834465433
lora_4b,LoRA Qwen3-4B,lora,limpio,False,870,0.0,0.7219585769659487,0.7476979742173112,0.6372881355932203,0.7808896210873146,0.7219585769659487,0.0,0.0,0.0,0.0,0.0
lora_4b,LoRA Qwen3-4B,lora,sin_tildes,False,870,0.0,0.7288339144879613,0.7639639639639639,0.6438356164383562,0.778702163061564,0.7219585769659487,0.006875337522012637,0.9523174516336431,0.01626598974665272,0.0065474808451359,-0.0021874580257505993
lora_4b,LoRA Qwen3-4B,lora,sin_emojis,False,870,0.0,0.7219585769659487,0.7476979742173112,0.6372881355932203,0.7808896210873146,0.7219585769659487,0.0,0.0,0.0,0.0,0.0
lora_4b,LoRA Qwen3-4B,lora,minusculas,False,870,0.0,0.7254922158124989,0.7568555758683729,0.6394557823129252,0.7801652892561983,0.7219585769659487,0.0035336388465502244,0.48945174408765135,0.00915760165106172,0.00216764671970493,-0.0007243318311163094
lora_4b,LoRA Qwen3-4B,lora,mayusculas,False,870,0.0,0.7099149851106207,0.7561837455830389,0.605072463768116,0.7684887459807074,0.7219585769659487,-0.012043591855327995,-1.6681832226360591,0.008485771365727701,-0.03221567182510432,-0.012400875106607256
lora_4b,LoRA Qwen3-4B,lora,alargamientos,False,870,0.0,0.7000460032753587,0.7491289198606271,0.5951035781544256,0.7559055118110236,0.7219585769659487,-0.021912573690589965,-3.0351566405205928,0.0014309456433159173,-0.04218455743879468,-0.024984109276291022
lora_4b,LoRA Qwen3-4B,lora,abrev_chat,False,870,0.0,0.7085670414660147,0.7422303473491774,0.622673434856176,0.760797342192691,0.7219585769659487,-0.013391535499933993,-1.854889730129989,-0.005467626868133846,-0.014614700737044295,-0.020092278894623616
lora_4b,LoRA Qwen3-4B,lora,sin_puntuacion,False,870,0.0,0.719254422663682,0.745945945945946,0.6342281879194631,0.7775891341256367,0.7219585769659487,-0.0027041543022666703,-0.374558096342723,-0.0017520282713652247,-0.0030599476737571685,-0.003300486961677951
lora_4b,LoRA Qwen3-4B,lora,code_switching,True,870,0.0,0.7241194718811524,0.7476979742173112,0.6417657045840407,0.7828947368421053,0.7219585769659487,0.0021608949152037704,0.2993100967489011,0.0,0.004477568990820413,0.002005115754790676
prompt_k4_4b,Prompting k=4 (Qwen3-4B),prompting_fewshot_k4,limpio,False,870,0.0,0.6522459597615115,0.7324478178368121,0.616580310880829,0.6077097505668935,0.6522459597615115,0.0,0.0,0.0,0.0,0.0
prompt_k4_4b,Prompting k=4 (Qwen3-4B),prompting_fewshot_k4,sin_tildes,False,870,0.0,0.6333422604193296,0.7340823970037453,0.6025641025641025,0.5633802816901409,0.6522459597615115,-0.018903699342181834,-2.8982470583786863,0.0016345791669332144,-0.014016208316726453,-0.0443294688767526
prompt_k4_4b,Prompting k=4 (Qwen3-4B),prompting_fewshot_k4,sin_emojis,False,870,0.0,0.654117600879259,0.7386363636363636,0.6191709844559585,0.6045454545454545,0.6522459597615115,0.0018716411177475134,0.2869532711911108,0.006188545799551526,0.002590673575129543,-0.0031642960214389726
prompt_k4_4b,Prompting k=4 (Qwen3-4B),prompting_fewshot_k4,minusculas,False,870,0.0,0.62175861646758,0.7213740458015268,0.5997490589711418,0.5441527446300716,0.6522459597615115,-0.030487343293931435,-4.674209604162039,-0.011073772035285367,-0.01683125190968715,-0.0635570059368219
prompt_k4_4b,Prompting k=4 (Qwen3-4B),prompting_fewshot_k4,mayusculas,False,870,0.0,0.6562077027193306,0.746031746031746,0.5714285714285714,0.6511627906976745,0.6522459597615115,0.003961742957819148,0.6074001530446778,0.013583928194933925,-0.04515173945225759,0.043453040130780995
prompt_k4_4b,Prompting k=4 (Qwen3-4B),prompting_fewshot_k4,alargamientos,False,870,0.0,0.6424221608841397,0.7156673114119922,0.6151866151866152,0.5964125560538116,0.6522459597615115,-0.009823798877371726,-1.5061494410733827,-0.016780506424819874,-0.0013936956942137702,-0.011297194513081865
prompt_k4_4b,Prompting k=4 (Qwen3-4B),prompting_fewshot_k4,abrev_chat,False,870,0.0,0.6389011415292233,0.7145557655954632,0.6128205128205129,0.5893271461716937,0.6522459597615115,-0.01334481823228817,-2.045979439591714,-0.017892052241348932,-0.003759798060316122,-0.018382604395199786
prompt_k4_4b,Prompting k=4 (Qwen3-4B),prompting_fewshot_k4,sin_puntuacion,False,870,0.0,0.6224556594104387,0.7020872865275142,0.5972045743329097,0.568075117370892,0.6522459597615115,-0.029790300351072774,-4.5673414921520346,-0.030360531309297945,-0.019375736547919242,-0.03963463319600147
prompt_k4_4b,Prompting k=4 (Qwen3-4B),prompting_fewshot_k4,code_switching,True,870,0.0,0.6295542030958342,0.710172744721689,0.6050632911392405,0.5734265734265734,0.6522459597615115,-0.022691756665677243,-3.4790183558935808,-0.022275073115123112,-0.011517019741588475,-0.03428317714032003
beto,BETO,encoder_finetuned,limpio,False,870,,0.6612994350282486,0.7016949152542373,0.55,0.7322033898305085,0.6612994350282486,0.0,0.0,0.0,0.0,0.0
beto,BETO,encoder_finetuned,sin_tildes,False,870,,0.6774024717420944,0.7076923076923077,0.5797598627787307,0.7447552447552448,0.6612994350282486,0.01610303671384583,2.435059802093731,0.0059973924380704036,0.02975986277873066,0.012551854924736316
beto,BETO,encoder_finetuned,sin_emojis,False,870,,0.6601089588377724,0.7016949152542373,0.5464285714285714,0.7322033898305085,0.6612994350282486,-0.0011904761904761862,-0.18002074815402389,0.0,-0.0035714285714286698,0.0
beto,BETO,encoder_finetuned,minusculas,False,870,,0.66570315173859,0.705685618729097,0.5529622980251346,0.7384615384615385,0.6612994350282486,0.004403716710341343,0.6659187165573838,0.003990703474859636,0.002962298025134591,0.006258148631030025
