experiment_name,model_name,method,data_fraction,seed,f1_macro,accuracy,f1_negative,f1_neutral,f1_positive,trainable_params,peak_vram_gb,train_time_s,inference_latency_ms,fallback_rate,notes
smoke_cutc_qwen1.7b_es2es_s42,Qwen/Qwen3-1.7B,lora,full,42,0.6371226569869981,0.7319819819819819,0.8148148148148148,0.3125,0.7840531561461794,6422528,8.530801152,64.307,50.72527038129537,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.6498@step232. loss 0.5972545229155442->0.013820141553878784. n_train=738, n_test=444. train_dir=tass_es, eval_dir=tass_es."
smoke_cutc_qwen1.7b_es2pe_s42,Qwen/Qwen3-1.7B,lora,full,42,0.6786101080433228,0.732824427480916,0.7947598253275109,0.4329896907216495,0.8080808080808081,6422528,8.530801152,65.2394,52.04517725168874,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.6498@step232. loss 0.5972545229155442->0.013820141553878784. n_train=738, n_test=262. train_dir=tass_es, eval_dir=tass_pe."
cutc_qwen1.7b_es2es_s42,Qwen/Qwen3-1.7B,lora,full,42,0.6371226569869981,0.7319819819819819,0.8148148148148148,0.3125,0.7840531561461794,6422528,8.530801152,71.627,55.916062262105314,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.6498@step232. loss 0.5972545229155442->0.013820141553878784. n_train=738, n_test=444. train_dir=tass_es, eval_dir=tass_es."
cutc_qwen4b_es2es_s42,Qwen/Qwen3-4B,lora,full,42,0.683194629567001,0.7454954954954955,0.8238095238095238,0.39520958083832336,0.8305647840531561,11796480,16.501618176,85.4277,67.27272139764146,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.6962@step464. loss 0.49396011747162916->0.005929506030575982. n_train=738, n_test=444. train_dir=tass_es, eval_dir=tass_es."
cutc_qwen1.7b_es2cr_s42,Qwen/Qwen3-1.7B,lora,full,42,0.6514848318586207,0.7479338842975206,0.8326180257510729,0.3283582089552239,0.7934782608695652,6422528,8.530801152,64.506,50.3224947636849,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.6498@step232. loss 0.5972545229155442->0.013820141553878784. n_train=738, n_test=242. train_dir=tass_es, eval_dir=tass_cr."
cutc_qwen4b_es2cr_s42,Qwen/Qwen3-4B,lora,full,42,0.6664831560814873,0.7396694214876033,0.867579908675799,0.37209302325581395,0.7597765363128491,11796480,16.501618176,90.9923,74.9671198754457,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.6962@step464. loss 0.49396011747162916->0.005929506030575982. n_train=738, n_test=242. train_dir=tass_es, eval_dir=tass_cr."
cutc_qwen1.7b_es2pe_s42,Qwen/Qwen3-1.7B,lora,full,42,0.6786101080433228,0.732824427480916,0.7947598253275109,0.4329896907216495,0.8080808080808081,6422528,8.530801152,65.8104,54.40719419142656,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.6498@step232. loss 0.5972545229155442->0.013820141553878784. n_train=738, n_test=262. train_dir=tass_es, eval_dir=tass_pe."
cutc_qwen4b_es2pe_s42,Qwen/Qwen3-4B,lora,full,42,0.6998317539917722,0.7480916030534351,0.8130841121495327,0.45714285714285713,0.8292682926829268,11796480,16.501618176,83.9616,65.00661434409649,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=465 (min_steps=80). best_val_F1=0.6962@step464. loss 0.49396011747162916->0.005929506030575982. n_train=738, n_test=262. train_dir=tass_es, eval_dir=tass_pe."
cutc_qwen1.7b_cr2es_s42,Qwen/Qwen3-1.7B,lora,full,42,0.6220618788527628,0.6846846846846847,0.774869109947644,0.32941176470588235,0.7619047619047619,6422528,8.507542016,48.6843,52.30032158361976,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7365@step255. loss 0.6796448651482078->0.00969159392749562. n_train=539, n_test=444. train_dir=tass_cr, eval_dir=tass_es."
cutc_qwen1.7b_cr2cr_s42,Qwen/Qwen3-1.7B,lora,full,42,0.6565715941549034,0.7231404958677686,0.8177339901477833,0.3764705882352941,0.7755102040816326,6422528,8.507542016,51.9661,55.02164675118892,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7365@step255. loss 0.6796448651482078->0.00969159392749562. n_train=539, n_test=242. train_dir=tass_cr, eval_dir=tass_cr."
cutc_qwen4b_cr2es_s42,Qwen/Qwen3-4B,lora,full,42,0.6672554051934413,0.722972972972973,0.7918781725888325,0.38857142857142857,0.8213166144200627,11796480,16.299513344,64.9179,68.45380407512972,0.0,"PEFT lora sobre Qwen/Qwen3-4B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7896@step340. loss 0.45955657958984375->0.0056220903116114. n_train=539, n_test=444. train_dir=tass_cr, eval_dir=tass_es."
cutc_qwen1.7b_cr2pe_s42,Qwen/Qwen3-1.7B,lora,full,42,0.6234843326259333,0.6679389312977099,0.7448979591836735,0.3925233644859813,0.7330316742081447,6422528,8.507542016,49.2836,52.15798677843914,0.0,"PEFT lora sobre Qwen/Qwen3-1.7B, fracción=full, seed=42. r=16, lr=0.0002, max_steps=340 (min_steps=80). best_val_F1=0.7365@step255. loss 0.6796448651482078->0.00969159392749562. n_train=539, n_test=262. train_dir=tass_cr, eval_dir=tass_pe."
