model_short,n_train,n_seeds,seeds,f1_mean,f1_std,f1_min,f1_max,acc_mean,acc_std,trainable_params,vram_gb,train_time_s,latency_ms,fallback
Qwen3-1.7B,4,3,"42,43,44",0.539401549127163,0.010299304196068433,0.530618239090203,0.5507369614512472,0.5727969348659004,0.026644197165844718,6422528.0,5.646558207999999,71.75506666666666,51.72678751718493,0.0007662835249042
Qwen3-1.7B,7,3,"42,43,44",0.5899452262113561,0.06293396502092785,0.522518345943105,0.6471298362401325,0.6091954022988505,0.0482758620689655,6422528.0,7.395119616,72.90653333333334,53.214131342519444,0.0
Qwen3-1.7B,10,3,"42,43,44",0.5980175418171977,0.03530208322146756,0.5595141142394474,0.6288602705896335,0.6245210727969348,0.037604539332766196,6422528.0,7.920212309333333,72.84216666666667,52.06983293847818,0.0038314176245210665
Qwen3-1.7B,16,3,"42,43,44",0.6224623382436821,0.025803151731752672,0.5986931573386093,0.6499055972966576,0.628735632183908,0.027895772642555404,6422528.0,7.9890179413333335,72.0987,50.90705742133639,0.0011494252873563
Qwen3-1.7B,25,3,"42,43,44",0.6538284017931414,0.02324904657935395,0.6357312576977395,0.6800492829034485,0.6521072796934866,0.028021784679274395,6422528.0,8.242232832,73.38716666666666,52.668672733074224,0.0
Qwen3-1.7B,50,3,"42,43,44",0.6317456562040841,0.029559100728200345,0.598143014971834,0.6537322745476696,0.6291187739463602,0.030461577333794586,6422528.0,8.105207125333335,71.0888,50.846192743411365,0.0019157088122605333
Qwen3-1.7B,100,3,"42,43,44",0.6445594386318803,0.02423934909535374,0.622204672294779,0.6703225806451613,0.6425287356321839,0.023751699218128575,6422528.0,8.340297216,71.39786666666667,51.639972935425256,0.0
Qwen3-1.7B,250,3,"42,43,44",0.6570508455283884,0.010670646005586244,0.647180906409225,0.6683733742864856,0.6555555555555556,0.008703307809655583,6422528.0,8.65919744,80.6396,53.09040549793962,0.0
Qwen3-1.7B,500,3,"42,43,44",0.6831820826697426,0.014825674990890499,0.6688147362832696,0.698427093053163,0.6831417624521072,0.010679969245031697,6422528.0,8.651133098666667,94.6202,52.903942987104955,0.0
Qwen3-1.7B,1000,3,"42,43,44",0.6852731074483415,0.004937211400640764,0.6795932817638262,0.6885381573976096,0.6850574712643679,0.0041443118108781315,6422528.0,8.658978986666666,120.65839999999999,55.29639289349492,0.0
Qwen3-1.7B,1839,3,"42,43,44",0.6976940990801873,0.006301159416586147,0.6922061633056852,0.7045752798812774,0.6931034482758621,0.006399729152678197,6422528.0,8.723149824,168.90476666666666,53.47247757780099,0.0
Qwen3-4B,4,3,"42,43,44",0.5215061808096059,0.0890987093216296,0.4439509185817911,0.6188283759611881,0.5693486590038314,0.07106324356691679,11796480.0,11.724075008,92.06463333333333,67.43624163464757,0.0011494252873563
Qwen3-4B,7,3,"42,43,44",0.6453589585704206,0.03849621485102918,0.6083152262660102,0.6851594520415105,0.6593869731800767,0.03532184718466141,11796480.0,14.548736170666666,92.73683333333334,67.18348336204538,0.0
Qwen3-4B,10,3,"42,43,44",0.6377264278010353,0.012816906861913117,0.6263566921461658,0.6516161682576306,0.6448275862068965,0.020205052679594247,11796480.0,15.368798890666667,95.01166666666666,67.69206882754004,0.0
Qwen3-4B,16,3,"42,43,44",0.6407257806790136,0.06762927949518485,0.5626373589031094,0.6803768139867789,0.6528735632183907,0.05489633993682559,11796480.0,15.46317312,95.12326666666667,67.11716829575816,0.0
Qwen3-4B,25,3,"42,43,44",0.6446464833549187,0.03668440925690421,0.6075006003373461,0.6808513111400409,0.653639846743295,0.025452266176616688,11796480.0,15.909174442666666,91.83266666666667,66.28075474328553,0.0007662835249042
Qwen3-4B,50,3,"42,43,44",0.6655579519461092,0.03357560579517682,0.6343682324010192,0.7010957891928702,0.6724137931034483,0.029729924497419673,11796480.0,15.704758613333333,91.75266666666666,68.37388938728567,0.0003831417624521
Qwen3-4B,100,3,"42,43,44",0.6865808811598381,0.01361584352502233,0.672781769999828,0.7000057408165246,0.6881226053639846,0.014957257698040695,11796480.0,16.00166212266667,95.30096666666667,67.47148764913368,0.0
Qwen3-4B,250,3,"42,43,44",0.698324967856804,0.00210815548763224,0.6970633695877634,0.7007587081760831,0.6969348659003831,0.0033181049953425927,11796480.0,16.668395349333334,104.71333333333332,68.42543304848827,0.0
Qwen3-4B,500,3,"42,43,44",0.6871713698677184,0.00877119984098343,0.6777954510370184,0.6951764147825035,0.6896551724137931,0.0030410934609937114,11796480.0,16.591528448000002,121.16603333333335,67.14570424546712,0.0
Qwen3-4B,1000,3,"42,43,44",0.6983662987876414,0.007002177286812789,0.6910675160554121,0.7050283824259173,0.6977011494252873,0.00828862362175634,11796480.0,16.678442837333332,155.3773,66.4788098836982,0.0
Qwen3-4B,1839,3,"42,43,44",0.7074034508190934,0.021754306289126474,0.682395657367637,0.7219585769659487,0.707662835249042,0.02455397696553579,11796480.0,16.73820706133333,217.62436666666667,68.44094454457885,0.0
