experiment_name,model_short,method,seed,f1_macro,accuracy,trainable_params,peak_vram_gb,train_time_s,inference_latency_ms,fallback_rate
encoder_finetuned_dccuchile_bert-base-spanish-wwm-cased_cardiff_es,bert-base-spanish-wwm-cased,encoder_finetuned,42,0.6612994350282486,0.6632183908045977,109853187.0,2.470710784,10.619552756892515,0.637400504094602,
encoder_finetuned_xlm-roberta-base_cardiff_es,xlm-roberta-base,encoder_finetuned,42,0.6464889915810161,0.6597701149425287,278045955.0,4.587578368,18.27577839884907,0.5487323321145157,
full_ft_qwen1.7b_nfull_s42,Qwen3-1.7B,full_ft,42,0.6960955423386922,0.6919540229885057,1720574976.0,15.844741632,124.3417,32.83136119869979,0.0
lora_qwen1.7b_nfull_s42,Qwen3-1.7B,lora,42,0.6922061633056852,0.6862068965517242,6422528.0,8.723313664,169.7481,54.10052727287015,0.0
lora_qwen1.7b_nfull_s43,Qwen3-1.7B,lora,43,0.7045752798812774,0.6988505747126437,6422528.0,8.722985984,170.4852,54.889373799884005,0.0
lora_qwen1.7b_nfull_s44,Qwen3-1.7B,lora,44,0.6963008540535992,0.6942528735632184,6422528.0,8.723149824,166.481,51.42753166064882,0.0
lora_qwen4b_nfull_s42,Qwen3-4B,lora,42,0.7219585769659487,0.7218390804597701,11796480.0,16.749821952,219.965,69.13602539223798,0.0
lora_qwen4b_nfull_s43,Qwen3-4B,lora,43,0.7178561181236948,0.7218390804597701,11796480.0,16.714432512,215.5199,67.47036099662645,0.0
lora_qwen4b_nfull_s44,Qwen3-4B,lora,44,0.682395657367637,0.6793103448275862,11796480.0,16.75036672,217.3882,68.71644724487213,0.0
prompting_fewshot_k16_Qwen_Qwen3-1.7B,Qwen3-1.7B,prompting_fewshot_k16,42,0.5395089352781591,0.5459770114942529,0.0,1.546046976,0.0,68.12499706344357,0.0011494252873563
prompting_fewshot_k16_Qwen_Qwen3-4B,Qwen3-4B,prompting_fewshot_k16,42,0.6312232282492505,0.6264367816091954,0.0,2.976776704,0.0,87.19471631700108,0.0
prompting_fewshot_k4_Qwen_Qwen3-1.7B,Qwen3-1.7B,prompting_fewshot_k4,42,0.5435983689193641,0.5448275862068965,0.0,1.479457792,0.0,67.85362755783417,0.0
prompting_fewshot_k4_Qwen_Qwen3-4B,Qwen3-4B,prompting_fewshot_k4,42,0.6522459597615115,0.6494252873563219,0.0,2.871407616,0.0,86.25325754702348,0.0
prompting_fewshot_k8_Qwen_Qwen3-1.7B,Qwen3-1.7B,prompting_fewshot_k8,42,0.5601021446909322,0.5609195402298851,0.0,1.500701184,0.0,68.08997180805295,0.0011494252873563
prompting_fewshot_k8_Qwen_Qwen3-4B,Qwen3-4B,prompting_fewshot_k8,42,0.5900286227698627,0.5988505747126437,0.0,2.899107328,0.0,85.97091464807505,0.0
prompting_zeroshot_Qwen_Qwen3-1.7B,Qwen3-1.7B,prompting_zeroshot,42,0.4713033050853233,0.5080459770114942,0.0,1.45524736,0.0,68.5899188072988,0.0137931034482758
prompting_zeroshot_Qwen_Qwen3-4B,Qwen3-4B,prompting_zeroshot,42,0.6330877441641455,0.6367816091954023,0.0,2.838754304,0.0,86.38767190384625,0.0
qlora_qwen1.7b_nfull_s42,Qwen3-1.7B,qlora,42,0.6810007740644918,0.6793103448275862,6422528.0,4.934291968,409.1822,102.2025520521167,0.0
qlora_qwen4b_nfull_s42,Qwen3-4B,qlora,42,0.7012167616334283,0.6977011494252874,11796480.0,6.787254784,533.8893,131.9478659955948,0.0
